Marka;Model;İşlemci;RAM;Depolama;Ekran Kartı;Fiyat
Asus;ZenBook 14 UX3405CA-PP485W Ultra 9 285H 32 GB 1 TB;Intel Core Ultra 9 285H;32;1024;Intel Arc 140T;69.509,00
Asus;Zenbook 14 OLED UX3405CA-QL571W Ultra 7 255H 16 GB;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;46.999,00
Asus;Vivobook S16 S3607VA-RP012W i7-13620H 16 GB 1 TB S;Intel Core i7-13620H;16;1024;Intel UHD;39.634,06
Asus;Zenbook 14 UX3405CA-PP372W;Intel Core Ultra 9 285H;32;1024;Entegre;69.999,00
Asus;ExpertBook P5 P5405CSA-I7321TBS0D Ultra 7 258V 32 ;Intel Core Ultra 7 258V;32;1024;Entegre;50.902,78
Asus;Vivobook 15 M1502YA-BQ579;AMD Ryzen 7 5825U;16;512;Entegre;20.899,05
Asus;Vivobook S16 S3607VA-RP030W i5-13420H 16 GB 1 TB S;Intel Core i5-13420H;16;1024;Intel UHD;32.999,00
Asus;-;Intel Core i7-13620H;16;512;Intel UHD;33.489,00
Asus;Vivobook S14 S3407VA-LY015 i5-13420H 16 GB 512 GB ;Intel Core i5-13420H;16;512;Intel UHD;26.590,50
Asus;Vivobook Go 15 E1504FA-NJ115;AMD Ryzen 5 7520U;8;512;AMD Radeon;18.140,00
Asus;-;Intel Core i5-1334U;16;512;Intel Iris Xe;23.795,48
Asus;Vivobook 15 X1504VA-NJ2642;Intel Core i3-1315U;8;512;Entegre;16.999,00
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Asus;-;Intel Core i5-13420H;8;512;Intel UHD;21.207,50
Asus;-;Intel Core i7-1355U;16;512;Intel Iris Xe;26.459,06
Asus;Vivobook 15 X1504VA-NJ3665;Intel Core 5 120U;8;512;Entegre;19.999,00
Asus;Vivobook 16X K3605VC-RP423 i5-13420H 8 GB 512 GB S;Intel Core i5-13420H;8;512;NVIDIA RTX3050;34.909,06
Asus;Zenbook DUO UX8406CA-PZ207W Ultra 9 285H 32 GB 2 T;Intel Core Ultra 9 285H;32;2048;Entegre;111.499,00
Asus;Vivobook S 14 S5406SA-QD146W Ultra 7 258V 32 GB 1 ;Intel Core Ultra 7 258V;32;1024;Entegre;55.999,00
Asus;ZenBook Duo UX8406CA-PZ218W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Entegre;88.110,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Asus;ZenBook Duo UX8406CA-PZ062W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Intel Arc 140T;88.199,02
Asus;-;Intel Core i5-1334U;8;512;Intel Iris Xe;21.899,00
Asus;ZenBook 14 UX3405CA-PP485W Ultra 9 285H 32 GB 1 TB;Intel Core Ultra 9 285H;32;1024;Intel Arc 140T;69.509,00
Asus;Zenbook 14 OLED UX3405CA-QL571W Ultra 7 255H 16 GB;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;46.999,00
Asus;Vivobook S16 S3607VA-RP012W i7-13620H 16 GB 1 TB S;Intel Core i7-13620H;16;1024;Intel UHD;39.634,06
Asus;Zenbook 14 UX3405CA-PP372W;Intel Core Ultra 9 285H;32;1024;Entegre;69.999,00
Asus;ExpertBook P5 P5405CSA-I7321TBS0D Ultra 7 258V 32 ;Intel Core Ultra 7 258V;32;1024;Entegre;50.902,78
Asus;Vivobook 15 M1502YA-BQ579;AMD Ryzen 7 5825U;16;512;Entegre;20.899,05
Asus;Vivobook S16 S3607VA-RP030W i5-13420H 16 GB 1 TB S;Intel Core i5-13420H;16;1024;Intel UHD;32.999,00
Asus;-;Intel Core i7-13620H;16;512;Intel UHD;33.489,00
Asus;Vivobook S14 S3407VA-LY015 i5-13420H 16 GB 512 GB ;Intel Core i5-13420H;16;512;Intel UHD;26.590,50
Asus;Vivobook Go 15 E1504FA-NJ115;AMD Ryzen 5 7520U;8;512;AMD Radeon;18.140,00
Asus;-;Intel Core i5-1334U;16;512;Intel Iris Xe;23.795,48
Asus;Vivobook 15 X1504VA-NJ2642;Intel Core i3-1315U;8;512;Entegre;16.999,00
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Asus;-;Intel Core i5-13420H;8;512;Intel UHD;21.207,50
Asus;-;Intel Core i7-1355U;16;512;Intel Iris Xe;26.459,06
Asus;Vivobook 15 X1504VA-NJ3665;Intel Core 5 120U;8;512;Entegre;19.999,00
Asus;Vivobook 16X K3605VC-RP423 i5-13420H 8 GB 512 GB S;Intel Core i5-13420H;8;512;NVIDIA RTX3050;34.909,06
Asus;Zenbook DUO UX8406CA-PZ207W Ultra 9 285H 32 GB 2 T;Intel Core Ultra 9 285H;32;2048;Entegre;111.499,00
Asus;Vivobook S 14 S5406SA-QD146W Ultra 7 258V 32 GB 1 ;Intel Core Ultra 7 258V;32;1024;Entegre;55.999,00
Asus;ZenBook Duo UX8406CA-PZ218W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Entegre;88.110,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.371,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Asus;Vivobook X543Ma Notebook Celeron N4000;Intel Celeron N4000;4;120;Entegre;9.232,52
Asus;-;Intel N4500;4;128;Intel UHD;9.249,05
Asus;Vivobook Go;Intel Celeron N4500;4;128;Entegre;9.999,00
Asus;Vivobook Go 15 Celeron N4500-;Intel Celeron N4500;4;128;Entegre;9.999,00
Asus;-;Intel Celeron N4500;4;128;Entegre;9.999,00
Asus;-;Intel Celeron N4500;4;128;Entegre;10.700,00
Asus;-;Intel N4500;4;128;Intel UHD;10.705,00
Asus;-;Intel Celeron N4020;4;128;Intel UHD;11.449,00
Asus;-;Intel Core İ5-6200U;8;240;Entegre;14.400,60
Asus;Vıvobook I3 1215U 8g;Intel Core I3-1215U;8;128;Entegre;16.199,00
Asus;Vivobook 15;AMD Ryzen 3 7320U;8;512;Entegre;16.641,55
Asus;VivoBook 15 X1504ZA-NJ1267 i3-1215U;Intel Core i3-1215U;8;512;Entegre;16.798,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Asus;-;Intel N4020;4;256;Intel UHD;16.999,00
Asus;Vivobook 15 X1504VA-NJ2642;Intel Core i3-1315U;8;512;Entegre;16.999,00
Asus;Vivobook Go 15 E1504FA-NJ1759;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.999,00
Asus;-;AMD Ryzen 3 3250U;8;256;AMD Radeon;17.079,05
Asus;Vivobook 15 X1504VA-NJ2765;Intel Core i3-1315U;8;512;Entegre;17.386,00
Asus;-;Intel Core i3-1315U;8;512;Intel UHD;17.496,67
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Asus;ZenBook Duo UX8406CA-PZ062W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Intel Arc 140T;88.199,02
Asus;-;Intel Core i5-1334U;8;512;Intel Iris Xe;21.899,00
Asus;ZenBook 14 UX3405CA-PP485W Ultra 9 285H 32 GB 1 TB;Intel Core Ultra 9 285H;32;1024;Intel Arc 140T;69.509,00
Asus;Zenbook 14 OLED UX3405CA-QL571W Ultra 7 255H 16 GB;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;46.999,00
Asus;Vivobook S16 S3607VA-RP012W i7-13620H 16 GB 1 TB S;Intel Core i7-13620H;16;1024;Intel UHD;39.634,06
Asus;Zenbook 14 UX3405CA-PP372W;Intel Core Ultra 9 285H;32;1024;Entegre;69.999,00
Asus;ExpertBook P5 P5405CSA-I7321TBS0D Ultra 7 258V 32 ;Intel Core Ultra 7 258V;32;1024;Entegre;50.902,78
Asus;Vivobook 15 M1502YA-BQ579;AMD Ryzen 7 5825U;16;512;Entegre;20.899,05
Asus;Vivobook S16 S3607VA-RP030W i5-13420H 16 GB 1 TB S;Intel Core i5-13420H;16;1024;Intel UHD;32.999,00
Asus;-;Intel Core i7-13620H;16;512;Intel UHD;33.489,00
Asus;Vivobook S14 S3407VA-LY015 i5-13420H 16 GB 512 GB ;Intel Core i5-13420H;16;512;Intel UHD;26.590,50
Asus;Vivobook Go 15 E1504FA-NJ115;AMD Ryzen 5 7520U;8;512;AMD Radeon;18.140,00
Asus;-;Intel Core i5-1334U;16;512;Intel Iris Xe;23.795,48
Asus;Vivobook 15 X1504VA-NJ2642;Intel Core i3-1315U;8;512;Entegre;16.999,00
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Asus;-;Intel Core i5-13420H;8;512;Intel UHD;21.207,50
Asus;-;Intel Core i7-1355U;16;512;Intel Iris Xe;26.459,06
Asus;Vivobook 15 X1504VA-NJ3665;Intel Core 5 120U;8;512;Entegre;19.999,00
Asus;Vivobook 16X K3605VC-RP423 i5-13420H 8 GB 512 GB S;Intel Core i5-13420H;8;512;NVIDIA RTX3050;34.909,06
Asus;Zenbook DUO UX8406CA-PZ207W Ultra 9 285H 32 GB 2 T;Intel Core Ultra 9 285H;32;2048;Entegre;111.499,00
Asus;Vivobook S 14 S5406SA-QD146W Ultra 7 258V 32 GB 1 ;Intel Core Ultra 7 258V;32;1024;Entegre;55.999,00
Asus;ZenBook Duo UX8406CA-PZ218W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Entegre;88.110,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Asus;ZenBook Duo UX8406CA-PZ062W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Intel Arc 140T;88.199,02
Asus;-;Intel Core i5-1334U;8;512;Intel Iris Xe;21.899,00
Asus;ZenBook 14 UX3405CA-PP485W Ultra 9 285H 32 GB 1 TB;Intel Core Ultra 9 285H;32;1024;Intel Arc 140T;69.509,00
Asus;Zenbook 14 OLED UX3405CA-QL571W Ultra 7 255H 16 GB;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;46.999,00
Asus;Vivobook S16 S3607VA-RP012W i7-13620H 16 GB 1 TB S;Intel Core i7-13620H;16;1024;Intel UHD;39.634,06
Asus;Zenbook 14 UX3405CA-PP372W;Intel Core Ultra 9 285H;32;1024;Entegre;69.999,00
Asus;ExpertBook P5 P5405CSA-I7321TBS0D Ultra 7 258V 32 ;Intel Core Ultra 7 258V;32;1024;Entegre;50.902,78
Asus;Vivobook 15 M1502YA-BQ579;AMD Ryzen 7 5825U;16;512;Entegre;20.899,05
Asus;Vivobook S16 S3607VA-RP030W i5-13420H 16 GB 1 TB S;Intel Core i5-13420H;16;1024;Intel UHD;32.999,00
Asus;-;Intel Core i7-13620H;16;512;Intel UHD;33.489,00
Asus;Vivobook S14 S3407VA-LY015 i5-13420H 16 GB 512 GB ;Intel Core i5-13420H;16;512;Intel UHD;26.590,50
Asus;Vivobook Go 15 E1504FA-NJ115;AMD Ryzen 5 7520U;8;512;AMD Radeon;18.140,00
Asus;-;Intel Core i5-1334U;16;512;Intel Iris Xe;23.795,48
Asus;Vivobook 15 X1504VA-NJ2642;Intel Core i3-1315U;8;512;Entegre;16.999,00
Asus;ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB S;Intel Core i5-13500H;8;512;Intel Iris Xe;37.999,00
Asus;-;Intel Core i5-13420H;8;512;Intel UHD;21.207,50
Asus;-;Intel Core i7-1355U;16;512;Intel Iris Xe;26.459,06
Asus;Vivobook 15 X1504VA-NJ3665;Intel Core 5 120U;8;512;Entegre;19.999,00
Asus;Vivobook 16X K3605VC-RP423 i5-13420H 8 GB 512 GB S;Intel Core i5-13420H;8;512;NVIDIA RTX3050;34.909,06
Asus;Zenbook DUO UX8406CA-PZ207W Ultra 9 285H 32 GB 2 T;Intel Core Ultra 9 285H;32;2048;Entegre;111.499,00
Asus;Vivobook S 14 S5406SA-QD146W Ultra 7 258V 32 GB 1 ;Intel Core Ultra 7 258V;32;1024;Entegre;55.999,00
Asus;ZenBook Duo UX8406CA-PZ218W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Entegre;88.110,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
MSI;-;Intel Core 7 150U;16;512;Entegre;28.919,00
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;21.184,05
MSI;-;Intel Core Ultra 7 155H;16;512;Entegre;39.499,00
MSI;-;Intel Core i5-1334U;8;512;Intel Iris Xe;20.989,00
MSI;-;Intel Core Ultra 7 155H;16;1024;Entegre;50.974,06
MSI;-;Intel Core 7 240H;32;1024;NVIDIA RTX5050;65.095,60
MSI;-;AMD Ryzen 9;32;1024;Entegre;57.274,78
MSI;-;Intel Core 7 240H;32;1024;NVIDIA RTX5050;68.054,03
MSI;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.074,06
MSI;-;Intel Core Ultra 7 155H;32;1024;Entegre;66.999,00
MSI;-;Intel Core Ultra 9 288V;32;1024;Entegre;96.999,00
MSI;-;Intel Core Ultra 9 288V;32;1024;Entegre;97.620,64
MSI;-;Intel Core i9-14900HX;128;4096;NVIDIA RTX5000;293.998,94
MSI;-;Intel Core i5-1235U;8;512;Intel Iris Xe;25.666,00
MSI;-;Intel Core i5-1334U;16;512;Entegre;24.767,33
MSI;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.163,05
MSI;-;Intel Core Ultra 7 155H;32;1024;Entegre;74.349,06
MSI;-;Intel Core i9-13980HX;64;4096;NVIDIA RTX3500;171.689,03
MSI;-;Intel Core Ultra 9 185H;32;2048;NVIDIA RTX4070;200.000,00
MSI;-;Intel Core Ultra 7 155H;32;1024;NVIDIA RTX4050;91.199,00
Diğer;-;Intel Core Ultra 7 155H;32;2048;Entegre;114.000,00
MSI;-;Intel Core i5-1335U;8;512;Intel Iris Xe;55.199,00
MSI;-;Intel Core 7 150U;32;1024;Entegre;52.999,00
Diğer;-;Intel Core İ5-1334U;16;512;Entegre;24.809,97
Diğer;-;Intel Core 7 240H;32;1024;NVIDIA RTX5050;83.186,98
MSI;-;Intel Core i5-13420H;16;512;Intel UHD;28.936,96
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
MSI;-;Intel Core 7 150U;16;512;Entegre;28.919,00
MSI;-;Intel Core Ultra 7 155H;16;1024;NVIDIA RTX4050;52.500,20
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;21.184,05
MSI;-;Intel Core Ultra 7 155H;16;512;Entegre;39.499,00
MSI;-;Intel Core i5-1334U;8;512;Intel Iris Xe;20.989,00
MSI;-;Intel Core Ultra 7 155H;16;1024;Entegre;50.974,06
MSI;-;Intel Core 7 240H;32;1024;NVIDIA RTX5050;65.095,60
MSI;-;AMD Ryzen 9;32;1024;Entegre;57.274,78
MSI;-;Intel Core 7 240H;32;1024;NVIDIA RTX5050;68.054,03
MSI;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.074,06
MSI;-;Intel Core Ultra 7 155H;32;1024;Entegre;66.999,00
MSI;-;Intel Core Ultra 9 288V;32;1024;Entegre;96.999,00
MSI;-;Intel Core Ultra 9 288V;32;1024;Entegre;97.620,64
MSI;-;Intel Core i9-14900HX;128;4096;NVIDIA RTX5000;293.998,94
MSI;-;Intel Core i5-1235U;8;512;Intel Iris Xe;25.666,00
MSI;-;Intel Core i5-1334U;16;512;Entegre;24.767,33
MSI;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.163,05
MSI;-;Intel Core Ultra 7 155H;32;1024;Entegre;74.349,06
MSI;-;Intel Core i9-13980HX;64;4096;NVIDIA RTX3500;171.689,03
MSI;-;Intel Core Ultra 9 185H;32;2048;NVIDIA RTX4070;200.000,00
MSI;-;Intel Core Ultra 7 155H;32;1024;NVIDIA RTX4050;91.199,00
Diğer;-;Intel Core Ultra 7 155H;32;2048;Entegre;114.000,00
MSI;-;Intel Core i5-1335U;8;512;Intel Iris Xe;55.199,00
MSI;-;Intel Core 7 150U;32;1024;Entegre;52.999,00
Diğer;-;Intel Core İ5-1334U;16;512;Entegre;24.809,97
Diğer;-;Intel Core 7 240H;32;1024;NVIDIA RTX5050;83.186,98
MSI;-;Intel Core i5-13420H;16;512;Intel UHD;28.936,96
HP;15-FC0059NT;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.085,30
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.488,75
HP;255;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.159,06
HP;255;AMD Ryzen 5 7530U;16;512;AMD Radeon;20.400,00
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.402,11
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.099,07
HP;-;Intel Core Ultra 5 226V;16;1024;Entegre;59.999,00
HP;240;Intel Core i5-1335U;8;512;Intel Iris Xe;24.939,84
HP;ProBook 460 G11 A23BCEA Ultra 7 155U 16 GB 512 GB ;Intel Core Ultra 7 155U;16;512;Entegre;37.669,16
HP;ProBook 460 G11 A23BKEA Ultra 5 125U 16 GB 512 GB ;Intel Core Ultra 5 125U;16;512;Entegre;31.839,73
HP;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.447,04
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;30.299,38
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.104,43
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;28.949,05
HP;250;Intel Core i5-1334U;8;512;Intel Iris Xe;20.265,85
HP;15S-Fq5006nt;Intel Core İ5-1235U;8;512;Intel Iris Xe;4.849,03
HP;15-FC0000NT;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;18.999,00
HP;EliteBook 660 G11 9C075EA Ultra 5 125U 16 GB 512 G;Intel Core Ultra 5 125U;16;512;Entegre;37.813,00
HP;-;Intel Core Ultra 7 155H;16;512;NVIDIA RTX2050;39.375,00
HP;250;Intel Core i5-1334U;8;512;Intel Iris Xe;18.999,00
HP;-;Intel Core Ultra 7 155H;32;1024;Entegre;77.999,55
HP;15-FC0016NT;AMD Ryzen 5 7520U;8;512;AMD Radeon;19.579,02
HP;255;AMD Ryzen 5 5500U;8;256;AMD Radeon;17.595,00
HP;15-FC0059NT;AMD Ryzen 7 7730U;16;512;Entegre;22.499,00
HP;250;Intel Core i5-1334U;8;256;Intel Iris Xe;19.999,00
HP;250;AMD Ryzen 7 5825U;32;1024;AMD Radeon;67.983,31
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.030,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
HP;15-FC0059NT;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.085,30
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.488,75
HP;255;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.159,06
HP;255;AMD Ryzen 5 7530U;16;512;AMD Radeon;20.400,00
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.402,11
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.099,07
HP;-;Intel Core Ultra 5 226V;16;1024;Entegre;59.999,00
HP;240;Intel Core i5-1335U;8;512;Intel Iris Xe;24.939,84
HP;ProBook 460 G11 A23BCEA Ultra 7 155U 16 GB 512 GB ;Intel Core Ultra 7 155U;16;512;Entegre;37.669,16
HP;ProBook 460 G11 A23BKEA Ultra 5 125U 16 GB 512 GB ;Intel Core Ultra 5 125U;16;512;Entegre;31.839,73
HP;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.447,04
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;30.299,38
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.104,43
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;28.949,05
HP;250;Intel Core i5-1334U;8;512;Intel Iris Xe;20.265,85
HP;15S-Fq5006nt;Intel Core İ5-1235U;8;512;Intel Iris Xe;4.849,03
HP;15-FC0000NT;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;18.999,00
HP;EliteBook 660 G11 9C075EA Ultra 5 125U 16 GB 512 G;Intel Core Ultra 5 125U;16;512;Entegre;37.813,00
HP;-;Intel Core Ultra 7 155H;16;512;NVIDIA RTX2050;39.375,00
HP;250;Intel Core i5-1334U;8;512;Intel Iris Xe;18.999,00
